Name,Mean (ps),2*Stdev (ps)
All.getPathType.get file.PathReader: get file,4322695,402524
All.getPathType.get file.PosixCompat: get file,1729892,165132
All.getPathType.get dir.PathReader: get dir,2867847,173890
All.getPathType.get dir.PosixCompat: get dir,1714862,138410
All.getPathType.get file link.PathReader: get file link,1419778,93486
All.getPathType.get file link.PosixCompat: get file link,1693280,84220
All.getPathType.get dir link.PathReader: get dir link,1424534,93312
All.getPathType.get dir link.PosixCompat: get dir link,1698155,169026
